"Site","lon","lat","das","alt","pen","deb","pH","dur","pho","nit","amm","oxy","dbo","sec"
1,88,7,0.3,934,48,0.84,7.9,45,0.01,0.2,0,12.2,2.7,"upper"
2,94,14,2.2,932,3,1,8,40,0.02,0.2,0.1,10.3,1.9,"upper"
3,102,18,10.2,914,3.7,1.8,8.3,52,0.05,0.22,0.05,10.5,3.5,"upper"
4,100,28,18.5,854,3.2,2.53,8,72,0.1,0.21,0,11,1.3,"upper"
5,106,39,21.5,849,2.3,2.64,8.1,84,0.38,0.52,0.2,8,6.2,"upper"
6,112,51,32.4,846,3.2,2.86,7.9,60,0.2,0.15,0,10.2,5.3,"upper"
7,114,61,36.8,841,6.6,4,8.1,88,0.07,0.15,0,11.1,2.2,"upper"
8,110,76,49.1,792,2.5,1.3,8.1,94,0.2,0.41,0.12,7,8.1,"upper"
9,136,100,70.5,752,1.2,4.8,8,90,0.3,0.82,0.12,7.2,5.2,"upper"
10,168,112,99,617,9.9,10,7.7,82,0.06,0.75,0.01,10,4.3,"upper"
11,186,130,123.4,483,4.1,19.9,8.1,96,0.3,1.6,0,11.5,2.7,"middle"
12,205,145,132.4,477,1.6,20,7.9,86,0.04,0.5,0,12.2,3,"middle"
13,222,167,143.6,450,2.1,21.1,8.1,98,0.06,0.52,0,12.4,2.4,"middle"
14,228,182,152.2,434,1.2,21.2,8.3,98,0.27,1.23,0,12.3,3.8,"middle"
15,252,190,164.5,415,0.5,23,8.6,86,0.4,1,0,11.7,2.1,"middle"
16,266,209,185.9,375,2,16.1,8,88,0.2,2,0.05,10.3,2.7,"middle"
17,245,203,198.5,348,0.5,24.3,8,92,0.2,2.5,0.2,10.2,4.6,"middle"
18,225,200,211,332,0.8,25,8,90,0.5,2.2,0.2,10.3,2.8,"middle"
19,206,194,224.6,310,0.5,25.9,8.1,84,0.6,2.2,0.15,10.6,3.3,"middle"
20,189,193,247.7,286,0.8,26.8,8,86,0.3,3,0.3,10.3,2.8,"middle"
21,187,201,281.2,262,1,27.2,7.9,85,0.2,2.2,0.1,9,4.1,"middle"
22,192,212,294,254,1.4,27.9,8.1,88,0.2,1.62,0.07,9.1,4.8,"middle"
23,192,228,304.3,246,1.2,28.8,8.1,97,2.6,3.5,1.15,6.3,16.4,"lower"
24,179,233,314.7,241,0.3,29.76,8,99,1.4,2.5,0.6,5.2,12.3,"lower"
25,145,217,327.8,231,0.5,38.7,7.9,100,4.22,6.2,1.8,4.1,16.7,"lower"
26,91,187,357.9,214,0.5,39.1,7.9,94,1.43,3,0.3,6.2,8.9,"lower"
27,65,174,373.2,206,1.2,39.6,8.1,90,0.58,3,0.26,7.2,6.3,"lower"
28,49,164,394.7,195,0.3,43.2,8.3,100,0.74,4,0.3,8.1,4.5,"lower"
29,27,151,422,183,0.6,67.7,7.8,110,0.45,1.62,0.1,9,4.2,"lower"
30,8,133,453,172,0.2,69,8.2,109,0.65,1.6,0.1,8.2,4.4,"lower"
