dlon,dlat
-65.88635843870857,-47.76357013184212
-65.85404821846069,-47.72986792956677
-65.80359084670047,-47.70235751700645
-65.74846561100698,-47.66558185120715
-65.66132115235655,-47.61955825334407
-65.63368736276611,-47.5765098805405
-65.61993613755509,-47.56728320200678
-65.56483544894803,-47.51185766964917
-65.55568672016057,-47.50877269080024
-65.49615708561142,-47.46867246309881
-65.40931613697715,-47.43463023221963
-65.29502981653552,-47.42195448415716
-65.16234509090518,-47.4152256558268
-65.06607212540068,-47.43013511168832
-65.04310969772124,-47.43925964968115
-64.99708504420521,-47.46984167785085
-64.96462419221905,-47.52518218335375
-64.9551676701939,-47.56831513436665
-64.94582894613184,-47.58985052139569
-64.9268557218582,-47.66374501408643
-64.93563203111096,-47.72237406127964
-64.93087966356941,-47.73775755631483
-64.9259261880259,-47.77471353654828
-64.94411827052899,-47.80871139984998
-64.95320701506793,-47.82724650319024
-64.97582244342395,-47.87664744473622
-64.98490274029858,-47.89517213935501
-65.03545590742067,-47.93542461204515
-65.05849901923425,-47.94782897907882
-65.09078310151192,-47.96333588711623
-65.28047613334557,-47.92996091247178
-65.38199614509938,-47.89626768092592
-65.40042074409261,-47.89628471941846
-65.47404938686492,-47.8717265379475
-65.49704315052111,-47.86865630876042
-65.52462309493136,-47.86250715727089
-65.88635843870857,-47.76357013184212
