"genero","especie","nombre_comun","categoria"
"Rhea","americana","Greater-Rhea","NT"
"Rhea","pennata","Lesser-Rhea","NT"
"Tinamus","solitarius","Solitary-Tinamou","NT"
"Taoniscus","nanus","Dwarf-Tinamou","VU"
"Penelope","dabbenei","Red-faced-Guan","LC"
"Pipile","jacutinga","Black-fronted-Piping-guan","EN"
"Heteronetta","atricapilla","Black-headed-Duck","LC"
"Chloephaga","rubidiceps","Ruddy-headed-Goose","LC"
"Tachyeres","leucocephalus","White-headed-Steamerduck","VU"
"Speculanas","specularis","Spectacled-Duck","NT"
"Mergus","octosetaceus","Brazilian-Merganser","CR"
"Picumnus","nebulosus","Mottled-Piculet","NT"
"Piculus","aurulentus","White-browed-Woodpecker","NT"
"Dryocopus","galeatus","Helmeted-Woodpecker","VU"
"Dryocopus","schulzi","Black-bodied-Woodpecker","NT"
"Campephilus","magellanicus","Magellanic-Woodpecker","LC"
"Pteroglossus","bailloni","Saffron-Toucanet","NT"
"Nonnula","rubecula","Rusty-breasted-Nunlet","LC"
"Ara","militaris","Military-Macaw","VU"
"Primolius","maracana","Blue-winged-Macaw","NT"
"Pionopsitta","pileata","Pileated-Parrot","LC"
"Amazona","vinacea","Vinaceous-breasted-Amazon","EN"
"Triclaria","malachitacea","Blue-bellied-Parrot","NT"
"Cypseloides","rothschildi","Rothschilds-Swift","NT"
"Aegolius","harrisii","Buff-fronted-Owl","LC"
"Macropsalis","forcipata","Long-trained-Nightjar","LC"
"Eleothreptus","anomalus","Sickle-winged-Nightjar","NT"
"Patagioenas","araucana","Chilean-Pigeon","LC"
"Claravis","geoffroyi","Purple-winged-Ground-dove","CR"
"Coturnicops","notatus","Speckled-Rail","LC"
"Laterallus","jamaicensis","Black-Rail","NT"
"Rallus","antarcticus","Austral-Rail","VU"
"Porzana","spiloptera","Dot-winged-Crake","VU"
"Fulica","cornuta","Horned-Coot","NT"
"Gallinago","stricklandii","Fuegian-Snipe","NT"
"Limosa","haemastica","Hudsonian-Godwit","LC"
"Numenius","borealis","Eskimo-Curlew","CR"
"Tryngites","subruficollis","Buff-breasted-Sandpiper","NT"
"Pluvianellus","socialis","Magellanic-Plover","NT"
"Phegornis","mitchellii","Diademed-Sandpiper-plover","NT"
"Larus","atlanticus","Olrogs-Gull","NT"
"Sterna","hirundinacea","South-American-Tern","LC"
"Accipiter","poliogaster","Gray-bellied-Hawk","NT"
"Harpyhaliaetus","solitarius","Solitary-Eagle","NT"
"Harpyhaliaetus","coronatus","Crowned-Eagle","EN"
"Buteo","brachyurus","Short-tailed-Hawk","LC"
"Buteo","ventralis","Rufous-tailed-Hawk","NT"
"Morphnus","guianensis","Crested-Eagle","NT"
"Harpia","harpyja","Harpy-Eagle","NT"
"Spizaetus","melanoleucus","Black-and-white-Hawk-eagle","LC"
"Spizaetus","isidori","Black-and-chestnut-Eagle","VU"
"Phalcoboenus","australis","Striated-Caracara","NT"
"Falco","deiroleucus","Orange-breasted-Falcon","NT"
"Podiceps","gallardoi","Hooded-Grebe","CR"
"Phalacrocorax","gaimardi","Red-legged-Cormorant","NT"
"Tigrisoma","fasciatum","Fasciated-Tiger-heron","LC"
"Phoenicopterus","chilensis","Chilean-Flamingo","NT"
"Phoenicoparrus","andinus","Andean-Flamingo","VU"
"Phoenicoparrus","jamesi","Puna-Flamingo","NT"
"Vultur","gryphus","Andean-Condor","NT"
"Spheniscus","magellanicus","Magellanic-Penguin","NT"
"Macronectes","giganteus","Southern-Giant-petrel","LC"
"Culicivora","caudacuta","Sharp-tailed-Tyrant","VU"
"Polystictus","pectoralis","Bearded-Tachuri","NT"
"Pseudocolopteryx","dinelliana","Dinellis-Doradito","NT"
"Phylloscartes","paulista","Sao-Paulo-Tyrannulet","NT"
"Platyrinchus","leucoryphus","Russet-winged-Spadebill","VU"
"Xolmis","salinarum","Salinas-Monjita","NT"
"Xolmis","dominicanus","Black-and-white-Monjita","VU"
"Neoxolmis","rufiventris","Chocolate-vented-Tyrant","LC"
"Agriornis","albicauda","White-tailed-Shrike-tyrant","VU"
"Knipolegus","hudsoni","Hudsons-Black-tyrant","LC"
"Alectrurus","tricolor","Cock-tailed-Tyrant","VU"
"Alectrurus","risora","Strange-tailed-Tyrant","VU"
"Muscipipra","vetula","Shear-tailed-Grey-tyrant","LC"
"Procnias","nudicollis","Bare-throated-Bellbird","VU"
"Piprites","pileata","Black-capped-Piprites","VU"
"Biatas","nigropectus","White-bearded-Antshrike","VU"
"Dysithamnus","stictothorax","Spot-breasted-Antvireo","NT"
"Leptasthenura","setaria","Araucaria-Tit-spinetail","NT"
"Asthenes","heterura","Maquis-Canastero","NT"
"Pseudasthenes","steinbachi","Steinbachs-Canastero","LC"
"Asthenes","anthoides","Austral-Canastero","LC"
"Clibanornis","dendrocolaptoides","Canebrake-Groundcreeper","NT"
"Spartonoica","maluroides","Bay-capped-Wren-spinetail","NT"
"Limnoctites","rectirostris","Straight-billed-Reedhaunter","NT"
"Anabacerthia","amaurotis","White-browed-Foliage-gleaner","NT"
"Psilorhamphus","guttatus","Spotted-Bamboowren","NT"
"Cyanocorax","caeruleus","Azure-Jay","NT"
"Cinclus","schulzi","Rufous-throated-Dipper","VU"
"Polioptila","lactea","Creamy-bellied-Gnatcatcher","NT"
"Anthus","chacoensis","Pampas-Pipit","LC"
"Anthus","nattereri","Ochre-breasted-Pipit","VU"
"Gubernatrix","cristata","Yellow-Cardinal","EN"
"Oreomanes","fraseri","Giant-Conebill","NT"
"Euphonia","chalybea","Green-throated-Euphonia","NT"
"Charitospiza","eucosma","Coal-crested-Finch","NT"
"Coryphaspiza","melanotis","Black-masked-Finch","VU"
"Melanodera","melanodera","White-bridled-Finch","LC"
"Melanodera","xanthogramma","Yellow-bridled-Finch","LC"
"Compsospiza","baeri","Tucuman-Mountain-finch","VU"
"Sicalis","luteocephala","Citron-headed-Yellow-finch","LC"
"Emberizoides","ypiranganus","Grey-cheeked-Grass-finch","LC"
"Sporophila","frontalis","Buffy-fronted-Seedeater","VU"
"Sporophila","falcirostris","Temmincks-Seedeater","VU"
"Sporophila","ruficollis","Dark-throated-Seedeater","NT"
"Sporophila","palustris","Marsh-Seedeater","EN"
"Sporophila","hypochroma","Rufous-rumped-Seedeater","NT"
"Sporophila","cinnamomea","Chestnut-Seedeater","VU"
"Amaurospiza","moesta","Blackish-blue-Seedeater","NT"
"Saltator","rufiventris","Rufous-bellied-Saltator","NT"
"Sturnella","defilippii","Pampas-Meadowlark","VU"
"Xanthopsar","flavus","Saffron-cowled-Blackbird","VU"
"Phylloscartes","sylviolus","Bay-ringed-Tyrannulet","NT"
"Phylloscartes","eximius","Southern-Bristle-tyrant","NT"
"Anodorhynchus","glaucus","Glaucous-Macaw","CR"
"Leptasthenura","yanacensis","Tawny-Tit-spinetail","NT"
"Crypturellus","obsoletus","Brown-Tinamou","LC"
"Crypturellus","parvirostris","Small-billed-Tinamou","LC"
"Crypturellus","tataupa","Tataupa-Tinamou","LC"
"Crypturellus","undulatus","Undulated-Tinamou","LC"
"Nothoprocta","cinerascens","Brushland-Tinamou","LC"
"Nothoprocta","ornata","Ornate-Tinamou","LC"
"Nothoprocta","pentlandii","Andean-Tinamou","LC"
"Nothura","darwinii","Darwins-Nothura","LC"
"Nothura","maculosa","Spotted-Nothura","LC"
"Eudromia","elegans","Elegant-Crested-tinamou","LC"
"Eudromia","formosa","Quebracho-Crested-tinamou","LC"
"Tinamotis","ingoufi","Patagonian-Tinamou","LC"
"Tinamotis","pentlandii","Puna-Tinamou","LC"
"Aptenodytes","patagonicus","King-Penguin","LC"
"Tachybaptus","dominicus","Least-Grebe","LC"
"Podilymbus","podiceps","Pied-billed-Grebe","LC"
"Rollandia","rolland","White-tufted-Grebe","LC"
"Podiceps","major","Great-Grebe","LC"
"Podiceps","occipitalis","Silvery-Grebe","LC"
"Fulmarus","glacialoides","Southern-Fulmar","LC"
"Thalassoica","antarctica","Antarctic-Petrel","LC"
"Daption","capense","Cape-Petrel","LC"
"Halobaena","caerulea","Blue-Petrel","LC"
"Pachyptila","belcheri","Thin-billed-Prion","LC"
"Pachyptila","desolata","Antarctic-Prion","LC"
"Pachyptila","turtur","Fairy-Prion","LC"
"Puffinus","assimilis","Little-Shearwater","LC"
"Puffinus","puffinus","Manx-Shearwater","LC"
"Oceanites","oceanicus","Wilsons-Storm-petrel","LC"
"Garrodia","nereis","Grey-backed-Storm-petrel","LC"
"Fregetta","grallaria","White-bellied-Storm-petrel","LC"
"Fregetta","tropica","Black-bellied-Storm-petrel","LC"
"Pelecanoides","magellani","Magellanic-Diving-petrel","LC"
"Pelecanoides","urinatrix","Common-Diving-petrel","LC"
"Sula","leucogaster","Brown-Booby","LC"
"Phalacrocorax","atriceps","Imperial-Shag","LC"
"Phalacrocorax","bougainvillii","Guanay-Cormorant","NT"
"Phalacrocorax","brasilianus","Neotropic-Cormorant","LC"
"Phalacrocorax","magellanicus","Rock-Shag","LC"
"Anhinga","anhinga","Anhinga","LC"
"Botaurus","pinnatus","Pinnated-Bittern","LC"
"Ixobrychus","exilis","Least-Bittern","LC"
"Ixobrychus","involucris","Stripe-backed-Bittern","LC"
"Tigrisoma","lineatum","Rufescent-Tiger-heron","LC"
"Nycticorax","nycticorax","Black-crowned-Night-heron","LC"
"Cochlearius","cochlearius","Boat-billed-Heron","LC"
"Bubulcus","ibis","Cattle-Egret","LC"
"Syrigma","sibilatrix","Whistling-Heron","LC"
"Butorides","striata","Striated-Heron","LC"
"Casmerodius","albus","Great-Egret","LC"
"Egretta","thula","Snowy-Egret","LC"
"Ardea","cocoi","Cocoi-Heron","LC"
"Mycteria","americana","Wood-Stork","LC"
"Ciconia","maguari","Maguari-Stork","LC"
"Jabiru","mycteria","Jabiru","LC"
"Theristicus","caerulescens","Plumbeous-Ibis","LC"
"Theristicus","caudatus","Buff-necked-Ibis","LC"
"Theristicus","melanopis","Black-faced-Ibis","LC"
"Mesembrinibis","cayennensis","Green-Ibis","LC"
"Phimosus","infuscatus","Bare-faced-Ibis","LC"
"Plegadis","chihi","White-faced-Ibis","LC"
"Plegadis","ridgwayi","Puna-Ibis","LC"
"Platalea","ajaja","Roseate-Spoonbill","LC"
"Chauna","torquata","Southern-Screamer","LC"
"Dendrocygna","autumnalis","Black-bellied-Whistling-duck","LC"
"Dendrocygna","bicolor","Fulvous-Whistling-duck","LC"
"Dendrocygna","viduata","White-faced-Whistling-duck","LC"
"Cygnus","melancoryphus","Black-necked-Swan","LC"
"Coscoroba","coscoroba","Coscoroba-Swan","LC"
"Chloephaga","hybrida","Kelp-Goose","LC"
"Chloephaga","melanoptera","Andean-Goose","LC"
"Chloephaga","picta","Upland-Goose","LC"
"Chloephaga","poliocephala","Ashy-headed-Goose","LC"
"Tachyeres","patachonicus","Flying-Steamerduck","LC"
"Tachyeres","pteneres","Flightless-Steamerduck","LC"
"Cairina","moschata","Muscovy-Duck","LC"
"Sarkidiornis","melanotos","Comb-Duck","LC"
"Callonetta","leucophrys","Ringed-Teal","LC"
"Amazonetta","brasiliensis","Brazilian-Teal","LC"
"Merganetta","armata","Torrent-Duck","LC"
"Anas","bahamensis","White-cheeked-Pintail","LC"
"Anas","cyanoptera","Cinnamon-Teal","LC"
"Anas","discors","Blue-winged-Teal","LC"
"Anas","georgica","Yellow-billed-Pintail","LC"
"Anas","platalea","Red-Shoveler","LC"
"Anas","puna","Puna-Teal","LC"
"Anas","sibilatrix","Chiloe-Wigeon","LC"
"Lophonetta","specularioides","Crested-Duck","LC"
"Anas","versicolor","Silver-Teal","LC"
"Netta","erythrophthalma","Southern-Pochard","LC"
"Netta","peposaca","Rosy-billed-Pochard","LC"
"Nomonyx","dominicus","Masked-Duck","LC"
"Oxyura","vittata","Lake-Duck","LC"
"Cathartes","aura","Turkey-Vulture","LC"
"Cathartes","burrovianus","Lesser-Yellow-headed-Vulture","LC"
"Coragyps","atratus","Black-Vulture","LC"
"Sarcoramphus","papa","King-Vulture","LC"
"Pandion","haliaetus","Osprey","LC"
"Leptodon","cayanensis","Grey-headed-Kite","LC"
"Chondrohierax","uncinatus","Hook-billed-Kite","LC"
"Elanoides","forficatus","American-Swallow-tailed-Kite","LC"
"Gampsonyx","swainsonii","Pearl-Kite","LC"
"Elanus","leucurus","White-tailed-Kite","LC"
"Rostrhamus","sociabilis","Snail-Kite","LC"
"Harpagus","diodon","Rufous-thighed-Kite","LC"
"Ictinia","mississippiensis","Mississippi-Kite","LC"
"Ictinia","plumbea","Plumbeous-Kite","LC"
"Geranospiza","caerulescens","Crane-Hawk","LC"
"Circus","buffoni","Long-winged-Harrier","LC"
"Circus","cinereus","Cinereous-Harrier","LC"
"Accipiter","bicolor","Bicoloured-Hawk","LC"
"Accipiter","superciliosus","Tiny-Hawk","LC"
"Buteogallus","urubitinga","Great-Black-hawk","LC"
"Buteogallus","meridionalis","Savanna-Hawk","LC"
"Busarellus","nigricollis","Black-collared-Hawk","LC"
"Geranoaetus","melanoleucus","Black-chested-Buzzard-eagle","LC"
"Parabuteo","unicinctus","Harriss-Hawk","LC"
"Buteo","albicaudatus","White-tailed-Hawk","LC"
"Buteo","leucorrhous","White-rumped-Hawk","LC"
"Buteo","magnirostris","Roadside-Hawk","LC"
"Buteo","swainsoni","Swainsons-Hawk","LC"
"Spizaetus","ornatus","Ornate-Hawk-eagle","NT"
"Spizaetus","tyrannus","Black-Hawk-eagle","LC"
"Phalcoboenus","albogularis","White-throated-Caracara","LC"
"Phalcoboenus","megalopterus","Mountain-Caracara","LC"
"Milvago","chimachima","Yellow-headed-Caracara","LC"
"Milvago","chimango","Chimango-Caracara","LC"
"Herpetotheres","cachinnans","Laughing-Falcon","LC"
"Micrastur","ruficollis","Barred-Forest-falcon","LC"
"Micrastur","semitorquatus","Collared-Forest-falcon","LC"
"Spiziapteryx","circumcincta","Spot-winged-Falconet","LC"
"Falco","femoralis","Aplomado-Falcon","LC"
"Falco","peregrinus","Peregrine-Falcon","LC"
